Selected Location,SitsinState,zip_code,median_income,median_home_value,price_to_income_ratio
"Maricopa (County, 2022)",AZ,85303,80650,333600,4.1363918164910105
"Maricopa (County, 2022)",AZ,85304,86927,379700,4.3680329471855694
"Maricopa (County, 2022)",AZ,85305,88167,452300,5.130037315548901
"Maricopa (County, 2022)",AZ,85306,84779,392500,4.629684237841919
"Maricopa (County, 2022)",AZ,85307,82888,395700,4.773911784576779
"Maricopa (County, 2022)",AZ,85308,95247,458100,4.809600302371728
"Maricopa (County, 2022)",AZ,85310,122137,552900,4.526883745302406
"Maricopa (County, 2022)",AZ,85320,47731,472100,9.890846619597326
"Maricopa (County, 2022)",AZ,85322,75417,354300,4.697879788376626
"Maricopa (County, 2022)",AZ,85323,83120,370200,4.453801732435034
"Maricopa (County, 2022)",AZ,85326,89876,373300,4.15350037829899
"Maricopa (County, 2022)",AZ,85329,36399,240000,6.593587735926811
"Maricopa (County, 2022)",AZ,85331,129083,741700,5.745915418761572
"Maricopa (County, 2022)",AZ,85333,39722,206900,5.208700468254368
"Maricopa (County, 2022)",AZ,85335,78050,321900,4.124279308135811
"Maricopa (County, 2022)",AZ,85337,55365,116500,2.104217465908065
"Maricopa (County, 2022)",AZ,85338,101744,436300,4.288213555590501
"Maricopa (County, 2022)",AZ,85339,110602,441600,3.9926945263195965
"Maricopa (County, 2022)",AZ,85340,122323,547500,4.47585490872526
"Maricopa (County, 2022)",AZ,85345,67380,319800,4.746215494211932
"Maricopa (County, 2022)",AZ,85351,53725,274000,5.100046533271289
"Maricopa (County, 2022)",AZ,85353,94154,388700,4.128342927544236
"Maricopa (County, 2022)",AZ,85354,64203,330800,5.152407208385901
"Maricopa (County, 2022)",AZ,85355,123055,494000,4.014465076591768
"Maricopa (County, 2022)",AZ,85361,77361,412400,5.3308514626232855
"Maricopa (County, 2022)",AZ,85363,68321,320000,4.683772193029961
"Maricopa (County, 2022)",AZ,85373,72063,348500,4.836046237320122
"Maricopa (County, 2022)",AZ,85374,81201,395400,4.869398160121181
"Maricopa (County, 2022)",AZ,85375,63928,377900,5.911337754974346
"Maricopa (County, 2022)",AZ,85377,149167,1077500,7.2234475453686136
"Maricopa (County, 2022)",AZ,85378,56444,274500,4.863227269506059
"Maricopa (County, 2022)",AZ,85379,110616,448200,4.051855066174875
"Maricopa (County, 2022)",AZ,85381,96746,447900,4.629648771008621
"Maricopa (County, 2022)",AZ,85382,91525,438300,4.788855503960667
"Maricopa (County, 2022)",AZ,85383,145546,661400,4.544267791626015
"Maricopa (County, 2022)",AZ,85387,98757,481000,4.870540822422714
"Maricopa (County, 2022)",AZ,85388,112164,459900,4.100246068257195
"Maricopa (County, 2022)",AZ,85390,68591,499200,7.277922759545713
"Maricopa (County, 2022)",AZ,85392,87702,418900,4.776401906455953
"Maricopa (County, 2022)",AZ,85395,105935,564800,5.331571246519092
"Maricopa (County, 2022)",AZ,85396,114056,482900,4.233885109069229
